dateTime,value
2021-03-26,6634
2021-03-27,3233
2021-03-28,1467
2021-03-29,1618
2021-03-30,7308
2021-03-31,1447
2021-04-01,4534
2021-04-02,11788
2021-04-03,14544
2021-04-04,3223
2021-04-05,11139
2021-04-06,2874
2021-04-07,4217
2021-04-08,3211
2021-04-09,2259
2021-04-10,7667
2021-04-11,1999
2021-04-12,2369
2021-04-13,1900
2021-04-14,4985
2021-04-15,3713
2021-04-16,1620
2021-04-17,2227
2021-04-18,6117
2021-04-19,5222
2021-04-20,3862
2021-04-21,4199
2021-04-22,3572
2021-04-23,3267
2021-04-24,4125
2021-04-25,2292
2021-04-26,5718
2021-04-27,2426
2021-04-28,3711
2021-04-29,1988
2021-04-30,2327
2021-05-01,2999
2021-05-02,4357
2021-05-03,1368
2021-05-04,8187
2021-05-05,6305
2021-05-06,5952
2021-05-07,1001
2021-05-08,5355
2021-05-09,5004
2021-05-10,4600
2021-05-11,3868
2021-05-12,8999
2021-05-13,11655
2021-05-14,3822
2021-05-15,4308
2021-05-16,4680
2021-05-17,7598
2021-05-18,13298
2021-05-19,6649
2021-05-20,6835
2021-05-21,8707
2021-05-22,4168
2021-05-23,4060
2021-05-24,1155
2021-05-25,7296
2021-05-26,1860
2021-05-27,1272
2021-05-28,2588
2021-05-29,19431
2021-05-30,4387
2021-05-31,7442
2021-06-01,2488
2021-06-02,5959
2021-06-03,3254
2021-06-04,7806
2021-06-05,2593
2021-06-06,18306
2021-06-07,5918
2021-06-08,6372
2021-06-09,5295
2021-06-10,2709
2021-06-11,2764
2021-06-12,5866
2021-06-13,1124
2021-06-14,840
2021-06-15,4608
2021-06-16,3824
2021-06-17,3498
2021-06-18,2801
2021-06-19,5792
2021-06-20,1482
2021-06-21,3149
2021-06-22,3900
2021-06-23,13583
2021-06-24,14375
2021-06-25,3506
2021-06-26,4705
2021-06-27,3583
2021-06-28,4590
2021-06-29,2353
2021-06-30,7549
2021-07-01,2837
2021-07-02,3201
2021-07-03,4840
2021-07-04,7107
2021-07-05,2830
2021-07-06,1513
2021-07-07,2147
2021-07-08,3147
2021-07-09,7424
2021-07-10,12355
2021-07-11,1902
2021-07-12,3112
2021-07-13,4398
2021-07-14,7933
2021-07-15,7389
2021-07-16,9787
2021-07-17,9942
2021-07-18,3079
2021-07-19,4756
2021-07-20,2596
2021-07-21,2954
2021-07-22,2467
2021-07-23,1673
2021-07-24,6758
2021-07-25,3534
2021-07-26,4124
2021-07-27,5100
2021-07-28,1417
2021-07-29,4636
2021-07-30,3273
2021-07-31,7209
2021-08-01,25494
2021-08-02,10099
2021-08-03,39847
